Date,Decision,Rationale,Impact on Current System
2026-08-11,Description List handled via global styles rather than a dedicated component.,"Native <dl> / <dt> / <dd> elements are sufficient. A dedicated component would add complexity without clear benefit given uncertain usage in the Dashboard.","Style <dl> elements in the global CSS layer. No Description List component will be built in v3."
2026-08-11,Tabs split into two separate components: Tabs (Navigation) and Tabs (Panel).,"Navigation tabs and panel tabs share a visual design but have fundamentally different markup and behavior. Navigation tabs are link-based (<nav> + <a>) and CSS-only. Panel tabs require the ARIA tablist/tabpanel pattern and React. Only the navigation variant is currently used in VIP — panel tabs are deferred.","Build Tabs (Navigation) as CSS-only in v3. Defer Tabs (Panel) until a use case arises."
2026-08-11,Table built as a simple CSS-only styled display table in v3.,"VIP plans to replace all table usage with a more complex table component from another design system. Building a full-featured data table now would be wasted effort. A simple styled table covers current display needs in the interim.","Build Table as CSS-only in v3. Plan for migration to third-party table component as part of broader a8c design system adoption."
2026-08-11,Tile documented as a pattern rather than built as a component.,"Usage is speculative — Tile exists in Figma but is not currently used in the Dashboard. Building a component without a real use case risks designing an API that doesn't fit actual needs. Row-level states (hover, disabled) could justify a component eventually, but the variable right-side control makes the API tricky. Option Row may evolve into Tile if a concrete use case arises.","Document Tile as a pattern in Phase 7. Revisit as a component candidate when a real Dashboard use case is identified."
2026-08-11,Status Indicator deferred from v3 scope.,No current use case identified in the Dashboard. Building it now without a real consumer would risk designing for a hypothetical rather than an actual need.,Defer until a concrete Dashboard use case arises. Add to v3 scope at that point.
2026-09-01,Chart Card included in the design system as a shell/frame component.,"Chart Card provides layout chrome (title, description, link, action buttons, chart slot) without owning any chart library. The chart slot is exposed via a children prop so the Dashboard can render Recharts or any other library inside it. children prop chosen over a fixed-height placeholder for flexibility — if layout consistency becomes hard to maintain this way, consider switching to a fixed-height slot with a configurable height prop.","Build Chart Card as a React organism. Design system owns chrome and layout only. Dashboard is responsible for chart content."
2026-09-01,Stat Card included in the design system.,"Stat Card (Card + Stat + optional link/actions) has no dependency on Recharts or any chart library. It was initially excluded as Dashboard-specific but reinstated once it was clear no chart library is required.","Build Stat Card as a React organism."
2026-08-11,Sparkline excluded from the design system as a component.,"Sparkline is a data visualization component built with Recharts — a third-party charting library. Data visualization components are tightly coupled to their data shape, chart library API, and Dashboard-specific context (Health/Metrics section), making them poor candidates for a general-purpose design system component. The design system's role is to provide tokens and styles that consuming apps use to build their own data visualizations consistently.","Sparkline stays in the Dashboard as a Recharts component. Update hardcoded GOLD color constants to reference design system tokens when the Dashboard adopts v3."
2026-08-11,Environment Switcher excluded from the design system as a component.,"Too tightly coupled to VIP's environment concept to be a reusable design system component. The design system will provide tokens and block styles to support it, but the component itself belongs in the VIP Dashboard.","Environment Switcher component lives in the Dashboard, not the design system. Revisit during Phase 5 to confirm token and style coverage in the design system is sufficient."
2026-08-11,Confirmation Dialog merged into Dialog as a variant rather than a separate component.,No behavior in Confirmation Dialog justifies a separate component — it is a smaller focused variant of Dialog.,Remove NewConfirmationDialog imports in the Dashboard and replace with Dialog using the confirmation variant.
2026-08-11,Date Picker implementation approach deferred to Phase 5.,"Radix does not have a Date Picker primitive. React Day Picker is a strong candidate — it handles calendar grid, keyboard navigation, and ARIA without imposing styles, which would save significant effort over a full custom build. Needs evaluation before committing to an approach.","Evaluate React Day Picker before Phase 5 implementation begins. If adopted, it replaces a full custom build for the calendar grid and date logic."
2026-08-11,Code component removed from v3 scope.,No clear use case identified in the VIP Dashboard — Console covers all current monospace display needs. Code can be added in a future version if a need arises.,None — Code is not currently used in the Dashboard in a way that differs from Console.
2026-08-11,ButtonSubmit removed as a separate component. Replaced by native <button type=""submit""> with appropriate variant styling.,ButtonSubmit has no behavior beyond being a submit button. Native HTML handles this without a wrapper component.,Remove ButtonSubmit imports in the Dashboard and replace with <button type=""submit"">.
2026-08-11,Combined Autocomplete and AutocompleteMulti into a single component with a multiple prop.,"Shared logic (filtering, keyboard navigation, dropdown, ARIA combobox pattern) is substantial enough to warrant a single implementation. The visual difference (chips rendered inside the input field for multi mode) is handled internally by the component based on the prop.","AutocompleteMulti usage in the Dashboard will need to be updated to <Autocomplete multiple> at each call site."
